Date,Open,High,Low,Close,Adj Close,Volume,12,26,MACD
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000,13657.2001953125,13657.2001953125,0.0
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,14982.099609375,16846600192,14374.854044596354,14345.128737229566,29.725307366787092
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,15201.0,16871900160,14697.299001786232,14652.634972103713,44.66402968251896
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,15599.2001953125,21783199744,14981.993961869166,14917.253244010579,64.74071785858723
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,17429.5,23840899072,15646.972605099869,15499.85362873479,147.1189763650782
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,17527.0,18314600448,16103.91816993431,15905.874878959761,198.04329097454865
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,16477.599609375,15866000384,16187.303875733905,16007.553158521674,179.7507172122314
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,15170.099609375,18413899776,15975.029023622124,15872.618641057295,102.41038256482898
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,14595.400390625,16659999744,15702.089374929097,15683.306857651402,18.78251727769566
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,14973.2998046875,18500800512,15563.984034608298,15585.332794619431,-21.34876001113298
2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,13405.7998046875,16534099968,15169.088358030067,15302.646675348218,-133.55831731815124
2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375,13980.599609375,12065699840,14957.778960160862,15140.212362575754,-182.43340241489204
2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,14360.2001953125,12763599872,14854.016584874844,15048.834077874435,-194.8174929995912
2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,13772.0,11084099584,14669.783707321336,14905.43041562489,-235.646708303555
2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,13819.7998046875,12750799872,14527.39685241356,14787.99177650968,-260.59492409611994
2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,11490.5,18853799936,14025.525702972272,14443.04704843843,-417.5213454661571
2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,11188.599609375,18830600192,13561.991030957004,14112.69221270977,-550.7011817527655
2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,11474.900390625,15020399616,13224.199377419864,13852.083031249505,-627.8836538296418
2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,11607.400390625,10740400128,12964.600827675626,13635.663144378308,-671.0623167026824
2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,12899.2001953125,11801700352,12954.169953084842,13566.209090601675,-612.0391375168329
2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,11600.099609375,9935179776,12739.419069687872,13384.467299962658,-645.048230274786
2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10931.400390625,10537400320,12454.029261269703,13161.801352789575,-707.7720915198715
2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,10868.400390625,9660609536,12204.740249306577,12957.047005100234,-752.3067557936574
2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,11359.400390625,9940989952,12072.284402503094,12816.545876576467,-744.2614740733734
2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,11259.400390625,8873169920,11945.275171094958,12681.479684048489,-736.2045129535309
2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,11171.400390625,9746199552,11824.650330665458,12552.134224312866,-727.483893647408
2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,11440.7001953125,7583269888,11764.924489071142,12458.0244780051,-693.0999889339582
2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,11786.2998046875,8350360064,11768.243876461871,12401.743338513461,-633.49946205159
2018-01-29,11755.5,11875.599609375,11179.2001953125,11296.400390625,11296.400390625,7107359744,11695.076670891793,12310.02184249341,-614.9451716016174
2018-01-30,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,10106.2998046875,8637859840,11449.010639213871,12128.770942014458,-679.7603028005869
2018-01-31,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,10221.099609375,8041160192,11259.030625370107,11973.141552977408,-714.1109276073003
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9170.5400390625,9959400448,10936.184902609299,11746.206570067543,-810.0216674582443
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,8830.75,12726899712,10610.9596035886,11511.75086422885,-900.7912606402497
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,9174.91015625,7263790080,10389.272054038682,11325.011088440322,-935.7390344016403
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,8277.009765625,7073549824,10063.367131021696,11082.855103363632,-1019.4879723419363
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,6955.27001953125,9285289984,9584.02663472648,10756.68158141527,-1172.65494668879
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,7754.0,13999800320,9301.900538299873,10520.569600545714,-1218.669062245841
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,7621.2998046875,9169280000,9042.89327837792,10293.624059772092,-1250.7307813941716
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,8265.58984375,9346750464,8923.130779019151,10135.540426896066,-1212.4096478769152
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,8736.98046875,6784820224,8894.456338833212,10026.944626934603,-1132.488288101391
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,8621.900390625,7780960256,8852.48014776472,9918.233890293763,-1065.753742529043
2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,8129.97021484375,6122189824,8741.22495928682,9780.327564466674,-1039.1026051798544
2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,8926.5703125,6256439808,8769.761292055504,9714.687752755559,-944.926460700055
2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,8598.3095703125,5696719872,8743.367149860082,9629.097192120153,-885.7300422600711
2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,9494.6298828125,7909819904,8859.008886093097,9618.814516257029,-759.8056301639317
2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,10166.400390625,9062540288,9060.238587433714,9660.588173726734,-600.3495862930195
2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,10233.900390625,7296159744,9240.87223561549,9704.227846181213,-463.3556105657226
2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125,11112.7001953125,8660880384,9528.940623608436,9811.219926000002,-282.2793023915656
2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875,10551.7998046875,8744009728,9686.347431735683,9867.370673956857,-181.02324222117386
2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,11225.2998046875,7652089856,9923.165166968574,9970.149385370598,-46.984218402023544
2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,11403.7001953125,9926540288,10150.985233999521,10078.476923325135,72.50831067438594
2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,10690.400390625,9405339648,10233.986191504155,10124.648583208409,109.33760829574567
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,10005.0,8040079872,10198.752514286809,10115.633134406804,83.119379880005
2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,10301.099609375,7739500032,10214.500124398031,10129.59012208679,84.91000231124053
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,9813.0703125,6917929984,10152.735375625782,10105.798980099522,46.93639552625973
